country,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2007,2010,2015
Argentina,0.124,0.131,0.149,0.151,0.188,0.238,0.250,0.230,0.241,0.277,0.240,0.338,0.364,0.254,0.374,0.239,0.456,0.453,0.476,0.493,0.514,0.517,0.524,0.545
Bahamas,,,,,,,,,,0.304,0.348,0.367,0.400,0.409,0.403,0.434,0.466,0.488,0.507,0.543,0.574,0.581,0.605,0.592
Barbados,,,,,,,,,,0.252,0.312,0.347,0.370,0.433,0.446,0.470,0.480,0.510,0.512,0.525,0.549,0.545,0.562,0.564
Belize,,,,,,,,,,0.271,0.307,0.321,0.341,0.342,0.359,0.386,0.400,0.437,0.472,0.512,0.547,0.574,0.579,0.519
Bolivia,0.041,0.054,0.060,0.068,0.089,0.109,0.114,0.114,0.117,0.134,0.144,0.153,0.127,0.126,0.121,0.152,0.282,0.329,0.356,0.374,0.388,0.376,0.390,0.394
Brazil,0.061,0.064,0.065,0.073,0.084,0.094,0.099,0.096,0.094,0.188,0.204,0.219,0.166,0.177,0.191,0.239,0.292,0.413,0.430,0.457,0.481,0.462,0.500,0.501
Chile,0.081,0.086,0.106,0.119,0.136,0.140,0.145,0.192,0.209,0.274,0.276,0.311,0.336,0.357,0.211,0.238,0.268,0.489,0.562,0.599,0.624,0.604,0.635,0.662
Colombia,0.064,0.073,0.075,0.069,0.102,0.130,0.137,0.145,0.154,0.142,0.172,0.232,0.243,0.256,0.284,0.297,0.323,0.328,0.377,0.390,0.381,0.399,0.429,0.447
Costa Rica,,,,,0.134,0.156,0.161,0.170,0.183,0.256,0.297,0.309,0.331,0.340,0.378,0.411,0.435,0.462,0.487,0.508,0.546,0.560,0.574,0.581
Cuba,0.062,0.068,0.082,0.091,0.134,0.160,0.158,0.160,0.183,0.245,0.208,0.166,0.161,0.170,0.186,0.203,0.217,0.228,0.243,0.263,0.281,0.285,0.319,0.367
Dominican R,,,,,,,,,,0.096,0.105,0.116,0.161,0.173,0.184,0.262,0.279,0.284,0.295,0.358,0.368,0.380,0.382,0.393
Ecuador,0.046,0.059,0.068,0.084,0.087,0.091,0.099,0.107,0.099,0.183,0.197,0.213,0.170,0.196,0.188,0.344,0.359,0.396,0.408,0.428,0.451,0.431,0.420,0.411
El Salvador,,,,,0.075,0.080,0.082,0.071,0.076,0.110,0.122,0.125,0.143,0.150,0.148,0.141,0.180,0.211,0.297,0.316,0.340,0.369,0.367,0.387
Guatemala,,,,,0.059,0.064,0.065,0.063,0.072,0.147,0.108,0.119,0.115,0.136,0.142,0.154,0.158,0.242,0.263,0.308,0.330,0.312,0.349,0.382
Guyana,,,,,,,,,,0.200,0.205,0.234,0.243,0.255,0.258,0.260,0.262,0.282,0.321,0.348,0.364,0.364,0.379,0.385
Haiti,,,,,,,,,,0.080,0.100,0.080,0.083,0.088,0.097,0.106,0.114,0.147,0.199,0.216,0.169,0.238,0.220,0.242
Honduras,,,,,0.079,0.085,0.090,0.086,0.088,0.123,0.116,0.127,0.132,0.146,0.151,0.174,0.243,0.266,0.288,0.311,0.324,0.325,0.305,0.318
Jamaica,0.064,0.072,0.095,0.113,0.123,0.133,0.142,0.110,0.157,0.203,0.253,0.300,0.330,0.343,0.358,0.376,0.392,0.419,0.438,0.453,0.467,0.489,0.483,0.526
Mexico,0.055,0.056,0.062,0.061,0.066,0.100,0.094,0.099,0.114,0.149,0.174,0.185,0.198,0.212,0.230,0.257,0.285,0.324,0.378,0.445,0.482,0.466,0.477,0.476
Nicaragua,0.051,0.039,0.053,0.060,0.059,0.067,0.070,0.069,0.074,0.091,0.102,0.111,0.122,0.129,0.143,0.179,0.223,0.290,0.334,0.336,0.362,0.304,0.326,0.289
Panama,,,,,,,,,,0.202,0.221,0.246,0.253,0.212,0.229,0.250,0.262,0.372,0.468,0.485,0.501,0.513,0.521,0.560
Paraguay,,,,,,,,,,0.158,0.149,0.142,0.165,0.168,0.178,0.193,0.201,0.302,0.355,0.364,0.393,0.395,0.420,0.422
Peru,,,,,0.075,0.085,0.093,0.092,0.099,0.113,0.131,0.205,0.239,0.151,0.169,0.221,0.341,0.349,0.278,0.327,0.482,0.483,0.484,0.504
Saint Kitts and Nevis,,,,,,,,,,0.228,0.279,0.311,0.319,0.360,0.380,0.392,0.402,0.436,0.448,0.473,0.487,0.486,0.496,0.505
Saint Lucia,,,,,,,,,,0.185,0.224,0.245,0.259,0.296,0.317,0.347,0.374,0.417,0.426,0.443,0.465,0.469,0.476,0.507
Saint Vincent and Grenadines,,,,,,,,,,0.215,0.257,0.302,0.312,0.353,0.368,0.389,0.403,0.437,0.443,0.462,0.475,0.476,0.486,0.491
Suriname,,,,,,,,,,0.262,0.277,0.290,0.300,0.315,0.354,0.274,0.291,0.295,0.403,0.407,0.414,0.419,0.425,0.458
Trinidad and Tobago,,,,,,,,,,0.282,0.299,0.347,0.380,0.402,0.416,0.451,0.461,0.482,0.487,0.498,0.505,0.503,0.525,0.554
Uruguay,0.148,0.143,0.169,0.190,0.203,0.248,0.264,0.223,0.257,0.367,0.387,0.393,0.396,0.367,0.219,0.237,0.411,0.491,0.508,0.533,0.540,0.541,0.571,0.559
Venezuela,0.056,0.060,0.071,0.064,0.070,0.077,0.074,0.075,0.117,0.150,0.160,0.308,0.318,0.363,0.384,0.404,0.399,0.412,0.419,0.385,0.344,0.316,0.349,0.348
Albania,0.032,0.029,0.030,0.032,0.055,0.076,0.083,0.092,0.092,0.127,0.134,0.145,0.154,0.175,0.193,0.217,0.238,0.259,0.374,0.419,0.471,0.495,0.498,0.489
Austria,0.150,0.156,0.174,0.197,0.228,0.307,0.333,0.235,0.220,0.394,0.429,0.458,0.478,0.501,0.534,0.566,0.588,0.612,0.637,0.662,0.677,0.638,0.703,0.707
Belgium,0.219,0.233,0.245,0.269,0.298,0.316,0.322,0.324,0.337,0.402,0.421,0.438,0.475,0.490,0.509,0.539,0.560,0.595,0.625,0.653,0.676,0.667,0.699,0.705
Belarus,,,,,,,,,,,,,,,,0.216,0.230,0.432,0.419,0.317,0.320,0.312,0.348,0.380
Bulgaria,0.093,0.123,0.118,0.147,0.173,0.174,0.185,0.201,0.181,0.183,0.202,0.226,0.242,0.250,0.259,0.267,0.269,0.412,0.490,0.512,0.544,0.523,0.555,0.551
Croatia,,,,,,,,,,,,,,,,0.314,0.326,0.340,0.382,0.514,0.556,0.581,0.604,0.608
Cyprus,,,,,0.123,0.135,0.144,0.143,0.151,0.208,0.211,0.269,0.338,0.350,0.383,0.420,0.460,0.493,0.520,0.546,0.561,0.599,0.615,0.678
Czech Republic,0.154,0.159,0.169,0.188,0.214,0.318,0.337,0.340,0.349,0.206,0.218,0.255,0.269,0.253,0.264,0.280,0.293,0.448,0.571,0.593,0.620,0.689,0.645,0.679
Denmark,0.236,0.237,0.249,0.276,0.347,0.399,0.408,0.419,0.429,0.484,0.511,0.535,0.547,0.579,0.598,0.614,0.629,0.644,0.665,0.696,0.723,0.689,0.724,0.771
Estonia,,,,,,,,,,,,,,,,0.221,0.235,0.483,0.537,0.593,0.625,0.641,0.648,0.709
Finland,0.124,0.122,0.137,0.136,0.196,0.258,0.264,0.283,0.313,0.398,0.422,0.443,0.458,0.483,0.509,0.552,0.584,0.608,0.639,0.669,0.700,0.659,0.726,0.705
France,0.177,0.243,0.259,0.277,0.323,0.342,0.346,0.355,0.366,0.442,0.446,0.478,0.501,0.548,0.587,0.608,0.630,0.655,0.669,0.696,0.722,0.664,0.765,0.743
